hpol,vpol
249.66985303716976,251.94917095894178
248.11418008143593,256.40592173916286
251.07851901668323,255.33594238408875
250.32701230743393,255.809063934261
251.2019534540105,257.2128966860563
250.9191550039877,255.02661412497167
248.5975625790128,251.86467953002736
245.40830455122352,254.97132075639684
251.150903241851,254.8542201513583
248.50995283357506,254.85391510086825
248.06542517674424,255.19446124714017
250.37318523576891,257.8273773409259
252.89656422817265,259.5645517638476
251.61739795231816,257.39560942881695
253.1491584347499,259.4234732152935
252.4472861952302,258.2006586958478
250.42039485031873,258.9603089999188
250.11225376948886,255.30843742232815
250.2666531623585,256.1104521940414
248.03883758222668,255.01089575076716
249.74672132043187,253.03808869993145
248.05046240318606,255.4275196305705
245.28775791735478,252.49294980031087
247.26074292261822,250.3962066630893
244.25211982495253,252.20245380133787
246.18028131095278,253.14144137961318
246.05357379277447,250.14152341916278
244.6852848661024,251.90486013456933
244.41084565778328,249.0497292762631
244.02082424205486,249.77446641301788
242.6005135318664,251.63598526496082
243.0668407875703,250.28061917084676
245.83437797451577,251.1368078473476
246.20258008584784,253.26792715301985
247.7152711251733,257.4403576527459
252.54700234322019,256.9292858656618
253.69997496486656,259.0775079624108
254.2806310645396,260.06033039194995
253.15367151853982,259.62498301907704
255.8344524112456,259.6634541419172
253.75250272454466,261.053946592727
252.07488491008598,258.01841920936937
253.32414183247985,257.9682170995053
249.00803290012064,256.29593193964905
249.2489557876079,256.7197277874277
247.16551673274907,255.46076419742843
251.2537722428789,257.012485166818
247.42831481042765,254.5043511895399
247.67839668648398,255.16928123763034
247.14853905559465,254.0238702463944
248.4105454834369,249.83177120750386
249.0611859924152,253.93000891329874
248.2732409680711,251.92778694605383
250.50047809717384,256.8462892293903
243.97238099870927,253.94303871395329
246.47885579595183,254.17007190137673
246.78447547594638,253.22027132932948
248.95596195512303,256.8575441390471
252.02268746116044,257.38102118002615
253.63825166984725,259.44903649269656
254.24396210919147,261.83382512842286
253.7078957633219,261.4233975511534
255.5456303740741,259.571379451934
255.71928674093942,262.0021209920313
255.76967426720952,259.28120440989284
253.99918085434186,259.31576589753695
251.84481386572628,258.8515584338209
254.32581208934386,259.7977035813697
251.97342634576077,259.70440745077155
252.86595908972575,258.100342299291
252.4141154994354,260.1138510478952
253.46501458665873,256.21829019353254
256.28417142629456,258.9652237392728
252.59084159008466,259.7437456467206
255.92426347788927,261.23081237140195
254.35829058181196,259.33391259291096
255.53767830570405,260.7230623891127
254.51658221078517,261.7222592483031
258.25512563396853,260.6879146344784
257.74077831760826,259.2537191444901
254.90316390564263,261.66418404974445
255.3634330983423,258.7506345585961
255.49141341094887,261.20779839198957
253.90883781509146,259.01096879825303
254.67885773443678,261.3280529673802
257.92475955723904,260.57873909403236
257.2235472796124,260.77697911675614
255.7295221393499,260.95698356895196
254.11083064751097,259.8783451834483
254.54125907091037,263.04358011285234
256.4794449941862,261.9536531284256
260.0210138516123,261.74332986456454
255.7197936893493,263.00674239622026
256.21765350477017,260.58302762058514
257.5093119189359,261.71163480036836
256.417607701801,261.5180178541299
257.5048761551027,259.64937388684
256.76399582727447,263.4387974143178
256.9035538089555,262.0267059130752
258.3781438850708,259.6933725108597
255.6868503587742,262.410795650839
255.0767194017859,262.91107534185227
258.4918676543844,261.78418247310884
254.48891969039641,261.1839153200035
256.2802027164484,262.54489711040725
254.9736046031764,261.23002520333944
253.09500573953596,261.31226947271387
255.48252396283584,262.26616859178955
256.69276304014323,264.20014682830515
255.46354596505284,261.56198807113805
257.30698600208507,260.9642856467804
255.84603212177063,261.14429239776814
255.64519875438646,260.54083588545166
256.4586213435381,260.57784907986354
255.38280183899357,260.1733240172037
256.2730393362896,262.0214636414926
255.13360424211467,262.00447648769403
254.72008828417182,262.98139251511833
253.20034202231182,258.6965949785397
254.44848695776994,259.07520934951924
252.58611814150797,258.91521268569585
252.5795592918707,260.33079574328633
254.19246030135056,258.2100456648088
252.8577573955225,263.0790332478137
253.45350751587185,257.9470655228076
250.9818195645322,254.49331126151745
250.10348915869037,257.85634719669576
250.45137276608162,257.51990088032704
251.14370400854276,256.46786380485145
250.00922460476704,258.35907474735967
253.74946100709258,259.601702869315
251.9934462272181,260.3034018129495
254.50082618046557,259.95695857866053
255.21575139387372,259.4096196140247
254.8952337447717,263.5310946670678
253.73052659503313,261.1393988938876
252.12138230500022,258.7083955482565
253.60464623455707,260.24375329810823
254.35049414721541,258.86089851132533
253.4288674904724,259.4055107753321
252.29476599745823,256.2400128952832
252.40324562786054,257.2438188374478
252.97939955870496,257.7440795233727
250.8064926152449,256.3571189746993
248.4403340575644,257.9198416518967
252.07840620296088,258.1533121879384
249.99253442264575,257.61904942633737
250.92809198586764,256.8768762818712
249.47956834364086,257.8028879196549
249.72095397266042,254.13247398762672
249.08557194365392,255.53795795639527
252.81895571772085,256.06577758292025
253.51847298858652,256.80200094040026
252.4656874656952,260.0575901220175
253.48453994677578,260.30977157931454
254.16630744817772,260.8688628973715
257.0129166952006,262.09985010756884
257.4344322753691,262.011166968249
254.27586273496615,261.2106754884491
254.1456831026101,259.2893982721168
256.369302299492,261.2386272587187
252.71107545319603,259.18935947412206
251.62619296056948,259.44395374756067
250.0667091168252,255.94987352388867
250.2232706357444,257.5951573490406
250.38486251587486,253.94151458454618
248.06788907139173,254.57514342883908
250.37266190006613,255.8505029765642
247.62719028364202,251.95451136921042
248.06080011420053,254.01671748971017
