system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2018_05_21_0,92.0,0.0,34.0,1.0,59.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_05_25_0,92.0,8.0,32.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_05_29_0,85.0,72.0,48.0,8.0,47.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_02_0,84.0,0.0,32.0,9.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_06_0,90.0,8.0,32.0,3.0,57.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_10_0,89.0,0.0,32.0,3.0,54.0,9.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_14_0,90.0,8.0,97.0,,50.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_18_0,95.0,72.0,99.0,,60.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_22_0,73.0,32.0,105.0,,25.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_26_0,82.0,8.0,32.0,11.0,43.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_06_30_0,76.0,8.0,0.0,3.0,33.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_04_0,91.0,8.0,32.0,2.0,56.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_08_0,89.0,8.0,34.0,4.0,51.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_12_0,92.0,8.0,32.0,1.0,64.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_16_0,89.0,0.0,99.0,,48.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_20_0,90.0,0.0,32.0,3.0,53.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_24_0,87.0,0.0,34.0,6.0,47.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_07_28_0,44.0,48.0,105.0,,11.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_01_0,90.0,8.0,34.0,4.0,52.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_05_0,85.0,8.0,34.0,8.0,45.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_09_0,92.0,8.0,34.0,2.0,57.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_13_0,92.0,8.0,32.0,2.0,57.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_17_0,92.0,8.0,34.0,2.0,58.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_21_0,94.0,8.0,2.0,0.0,68.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_25_0,89.0,8.0,32.0,4.0,51.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_08_29_0,88.0,0.0,32.0,5.0,49.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_02_0,90.0,0.0,32.0,4.0,52.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_06_0,7.0,32.0,105.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_10_0,90.0,8.0,32.0,4.0,49.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_14_0,89.0,0.0,34.0,6.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_18_0,89.0,8.0,32.0,6.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_22_0,88.0,0.0,34.0,7.0,45.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_26_0,87.0,8.0,32.0,8.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_09_30_0,87.0,32.0,32.0,8.0,44.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_04_0,88.0,8.0,32.0,7.0,45.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_08_0,80.0,0.0,2.0,8.0,29.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_12_0,48.0,8.0,2.0,0.0,11.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_16_0,78.0,0.0,2.0,8.0,20.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_20_0,71.0,0.0,2.0,7.0,16.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_24_0,58.0,0.0,2.0,9.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_10_28_0,57.0,0.0,0.0,8.0,10.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_01_0,1.0,32.0,107.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_05_0,46.0,0.0,0.0,6.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_09_0,39.0,0.0,2.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_13_0,42.0,8.0,8.0,0.0,6.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_17_0,43.0,8.0,0.0,8.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_21_0,40.0,0.0,0.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_25_0,35.0,8.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_11_29_0,34.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_03_0,42.0,0.0,2.0,7.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2018_12_07_0,37.0,48.0,8.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
