system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2020_02_06_0,36.0,8.0,10.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_10_0,27.0,48.0,10.0,0.0,3.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_14_0,27.0,8.0,16.0,0.0,4.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_18_0,42.0,0.0,0.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_22_0,27.0,48.0,10.0,0.0,3.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_02_26_0,42.0,0.0,0.0,7.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_01_0,26.0,0.0,0.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_05_0,43.0,8.0,0.0,7.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_09_0,38.0,0.0,2.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_13_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_17_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_21_0,38.0,0.0,0.0,6.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_25_0,27.0,0.0,2.0,6.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_03_29_0,45.0,8.0,0.0,9.0,9.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_02_0,44.0,8.0,0.0,7.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_06_0,44.0,8.0,0.0,9.0,11.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_10_0,41.0,0.0,0.0,8.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_14_0,42.0,0.0,0.0,8.0,10.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_18_0,43.0,8.0,2.0,7.0,10.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_22_0,15.0,32.0,107.0,,3.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_26_0,48.0,0.0,0.0,7.0,12.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_04_30_0,69.0,0.0,2.0,8.0,23.0,5.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_04_0,49.0,8.0,97.0,,13.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_08_0,86.0,0.0,32.0,7.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_12_0,86.0,8.0,107.0,,41.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_16_0,36.0,32.0,107.0,,9.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_20_0,89.0,8.0,99.0,,48.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_24_0,90.0,8.0,32.0,2.0,56.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_05_28_0,93.0,0.0,32.0,1.0,64.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_01_0,93.0,0.0,34.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_05_0,72.0,32.0,0.0,9.0,29.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_09_0,93.0,0.0,99.0,,56.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_13_0,91.0,0.0,32.0,2.0,58.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_17_0,93.0,72.0,48.0,0.0,66.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_21_0,89.0,72.0,32.0,4.0,54.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_25_0,84.0,8.0,32.0,8.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_06_29_0,48.0,8.0,97.0,,13.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_03_0,89.0,72.0,32.0,4.0,54.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_07_0,93.0,0.0,32.0,0.0,64.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_11_0,91.0,0.0,32.0,2.0,58.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_15_0,90.0,0.0,32.0,2.0,57.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_19_0,83.0,8.0,97.0,,37.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_23_0,92.0,0.0,32.0,1.0,60.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_27_0,93.0,0.0,34.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_07_31_0,66.0,72.0,10.0,7.0,21.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_04_0,93.0,8.0,32.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_08_0,88.0,8.0,34.0,6.0,48.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_12_0,89.0,8.0,34.0,5.0,50.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_20_0,93.0,8.0,32.0,1.0,63.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_24_0,88.0,8.0,32.0,5.0,49.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_08_28_0,37.0,72.0,2.0,4.0,10.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_01_0,89.0,8.0,34.0,6.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_05_0,89.0,0.0,34.0,5.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_09_0,28.0,8.0,107.0,,6.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_13_0,89.0,8.0,34.0,6.0,45.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_17_0,92.0,8.0,34.0,3.0,54.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_21_0,90.0,8.0,34.0,5.0,49.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_25_0,87.0,8.0,32.0,8.0,43.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_09_29_0,85.0,0.0,0.0,8.0,37.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_03_0,75.0,0.0,2.0,8.0,24.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_07_0,70.0,0.0,2.0,7.0,20.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_11_0,64.0,0.0,2.0,7.0,12.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_15_0,58.0,0.0,0.0,8.0,14.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_19_0,45.0,32.0,0.0,7.0,10.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_23_0,26.0,8.0,2.0,5.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_27_0,47.0,0.0,2.0,6.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_10_31_0,48.0,0.0,2.0,7.0,8.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_04_0,42.0,32.0,2.0,0.0,6.0,0.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_08_0,46.0,0.0,0.0,6.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_12_0,46.0,0.0,2.0,7.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_16_0,44.0,0.0,2.0,7.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_20_0,1.0,32.0,107.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_24_0,41.0,0.0,0.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_11_28_0,36.0,0.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_02_0,45.0,0.0,0.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_06_0,36.0,8.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_10_0,40.0,0.0,2.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_14_0,35.0,8.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_18_0,44.0,0.0,0.0,7.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_22_0,39.0,0.0,2.0,7.0,6.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_26_0,40.0,0.0,2.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2020_12_30_0,4.0,48.0,105.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_01_0,2.0,32.0,107.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_05_0,38.0,0.0,0.0,5.0,6.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_09_0,40.0,0.0,0.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_13_0,1.0,32.0,107.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_17_0,36.0,8.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_21_0,42.0,0.0,0.0,9.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_25_0,32.0,8.0,10.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_01_29_0,42.0,8.0,2.0,10.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_02_0,36.0,8.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_06_0,1.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_10_0,33.0,8.0,8.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_14_0,4.0,0.0,107.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_18_0,7.0,32.0,105.0,,1.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_22_0,41.0,0.0,0.0,9.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2021_02_26_0,42.0,0.0,0.0,7.0,9.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
